,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,2.1,1.71´,25.4,2,LHS 102BC,,,
2,Canopus,0310,15,71,"13,500"
3,Alpha Centauri,0004.4,1.1,1.2,2,14,2MASS J00034227-2822410,,,
4,Arcturus,0037,1.1,26,170
5,Vega,0025,2.2,2.7,50,31,2MASS J02511327+0047364,,,
6,Capella,0043,2.6,12,150
7,Rigel,0860,23,78.9,"120,000",117,TWA 27A,,,
8,Procyon,0011.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000",118,TWA 27B,,,
10,Achernar,0144,6.7,9.3,"3,000"
11,Hadar,0390,10.5,8.6,"42,000",177,2MASS J14112131-2119503,,,
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,18,8.9,"25,000",26,2MASS J02103857-3015313,101,15,1.53
14,Aldebaran,0065,1.5,44,520
15,Antares,0600,12,680,"75,000",129,2MASS J13204427+0409045,101,67,1.01
16,Spica,0260,11.43,7.47,"20,512"
17,Pollux,0034,1.9,8.8,43,194,WISE 0038+8405,101.8,,
18,Fomalhaut,0025,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"200,000",67,2MASS J06085283-2753583,102,38,1.51
20,Mimosa,0350,16,8.4,"34,000"
21,Regulus,0077,3.8,3.1,290,273,WISE 1147-2040,102,,
22,Adhara,0430,12.5,14,"39,000"
23,Shaula,0700,14.5,8.8,"36,000",140,CFBDSIR 1458+10A,104,11.1,1.5
24,Castor,0052,2.8,2.4,30
25,Gacrux,0088,1.5,84,820,141,CFBDSIR 1458+10B,104,9,1.3
26,Bellatrix,0240,8.6,5.8,"9,200"
27,Elnath,0130,5.0,4.2,700,168,2MASS J20004841-7523070,105,25,1.88
28,Miaplacidus,0110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"380,000",215,WISE 0316+4307,106.3,,
30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,Alnair,0101,4.0,3.4,260,314,WISE 1830+4542,107,,
32,Alioth,0081,2.9,4.2,110
33,Alnitak,01050,33,20,"120,000",99,2MASSI J1017075+130839 [de],108,,
34,Dubhe,0120,4.25,30,300
35,Mirfak,0590,8.5,68,"5,000",171,2MASSW J2101154+175658,108,,
36,Wezen,"1,600",17,200,"82,000"
37,Sargas,0270,5.7,26,"1,800",288,WISE 1506+7027,11.1,,
38,Kaus Australis,0140,3.5,6.8,360
39,Avior,0630,9.0,130,"60,000",157,2MASS J16262034+3925190 [de],110,71,1.03
40,Alkaid,0104,6.1,3.4,"1,350"
41,Menkalinan,081,2.39,2.77,50,25,SDSS J020742.48+000056.2 [de],111,47,0.97
42,Atria,0390,7,92,"5,500"
43,Alhena,0109,2.8,3.3,120,350,WISEA 1101+5400,111,,
44,Peacock,0180,5.9,4.8,"2,200"
45,Alsephina[2],0080,2.4,2.9,90,174,HB 2124-4228,113,94,1.21
46,Mirzam,0500,13.5,10,"27,000"
47,Polaris,0430,5.4,39,"2,500",161,2MASSI J1726000+153819,114,24,1.40
48,Alphard,0180,3.0,50,780
49,Mintaka,01200,24,16.5,"190,000",124,2MASSW J1239272+551537 [de],119,,
50,Scheat,0196,2.1,95,"1,500"
